Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",128,ABE,40.652099609375,-75.44080352783203,0,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,0,1
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",113,ABE,40.652099609375,-75.44080352783203,1,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,1,1
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",78,ABE,40.652099609375,-75.44080352783203,2,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,2,1
Abilene Regional Airport,"Abilene, TX",41,ABI,32.4113006592,-99.68190002440001,3,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,3,1
Albuquerque International Sunport Airport,"Albuquerque, NM",94,ABQ,35.04019927978516,-106.60900115966795,4,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,4,1
Albuquerque International Sunport Airport,"Albuquerque, NM",9,ABQ,35.04019927978516,-106.60900115966795,5,0
Austin Bergstrom International Airport,"Austin, TX",0,AUS,30.194499969482425,-97.6698989868164,5,1
Albuquerque International Sunport Airport,"Albuquerque, NM",59,ABQ,35.04019927978516,-106.60900115966795,6,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,6,1
Albuquerque International Sunport Airport,"Albuquerque, NM",273,ABQ,35.04019927978516,-106.60900115966795,7,0
Dallas Love Field,"Dallas, TX",0,DAL,32.84709930419922,-96.85179901123048,7,1
Albuquerque International Sunport Airport,"Albuquerque, NM",289,ABQ,35.04019927978516,-106.60900115966795,8,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,8,1
Albuquerque International Sunport Airport,"Albuquerque, NM",249,ABQ,35.04019927978516,-106.60900115966795,9,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,9,1
Albuquerque International Sunport Airport,"Albuquerque, NM",162,ABQ,35.04019927978516,-106.60900115966795,10,0
William P Hobby Airport,"Houston, TX",0,HOU,29.64539909,-95.27890015,10,1
Albuquerque International Sunport Airport,"Albuquerque, NM",136,ABQ,35.04019927978516,-106.60900115966795,11,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,11,1
Albuquerque International Sunport Airport,"Albuquerque, NM",36,ABQ,35.04019927978516,-106.60900115966795,12,0
John F Kennedy International Airport,"New York, NY",0,JFK,40.63980103,-73.77890015,12,1
Albuquerque International Sunport Airport,"Albuquerque, NM",218,ABQ,35.04019927978516,-106.60900115966795,13,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,13,1
Albuquerque International Sunport Airport,"Albuquerque, NM",117,ABQ,35.04019927978516,-106.60900115966795,14,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,14,1
Albuquerque International Sunport Airport,"Albuquerque, NM",51,ABQ,35.04019927978516,-106.60900115966795,15,0
Kansas City International Airport,"Kansas City, MO",0,MCI,39.2976,-94.713898,15,1
Albuquerque International Sunport Airport,"Albuquerque, NM",64,ABQ,35.04019927978516,-106.60900115966795,16,0
Chicago Midway International Airport,"Chicago, IL",0,MDW,41.7859992980957,-87.75240325927734,16,1
Albuquerque International Sunport Airport,"Albuquerque, NM",2,ABQ,35.04019927978516,-106.60900115966795,17,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,17,1
Albuquerque International Sunport Airport,"Albuquerque, NM",106,ABQ,35.04019927978516,-106.60900115966795,18,0
Metropolitan Oakland International Airport,"Oakland, CA",0,OAK,37.72129821777344,-122.22100067138672,18,1
Albuquerque International Sunport Airport,"Albuquerque, NM",4,ABQ,35.04019927978516,-106.60900115966795,19,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,19,1
Albuquerque International Sunport Airport,"Albuquerque, NM",4,ABQ,35.04019927978516,-106.60900115966795,20,0
Portland International Airport,"Portland, OR",0,PDX,45.58869934,-122.59799960000001,20,1
Albuquerque International Sunport Airport,"Albuquerque, NM",379,ABQ,35.04019927978516,-106.60900115966795,21,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,21,1
Albuquerque International Sunport Airport,"Albuquerque, NM",110,ABQ,35.04019927978516,-106.60900115966795,22,0
San Diego International Airport,"San Diego, CA",0,SAN,32.7336006165,-117.190002441,22,1
